Z	L	D
መበገሲ ዘጋጭይ ምኽንያት ክህሉ ስለዝኽእል፥ ሰባት ንምንታይ ተጋገዩ፣ ንምታይ ሰሓቱ፣ ንምንታይ ይጋጨዩ ኣይበሃልን፡፡	መልዐሊ መጋጨዪ ምኽንያት ክህሉ ስለልኽእል፥ ሰባት ልምንታይ ተጋገዩ፣ ልምታይ ሰሓቱ፣ ልምንታይ ይጋጨዩ ኣይበሃልይ፡፡	መልዐሊ መጋጨዪ ምኽንያት ክህልይ ስለድኽእል፥ ሰባት ድምንታይ ትጋገዩ፣ ድምታይ ሰሓቱ፣ ድምንታይ ይጋጨዩ ኣይበሃልይ፡፡
ይትረፍ ሰብ ተናጋሪ፣ ተንቀሳቃሲ፣ ዘጋጭይ እንተተረኺቡስ እምኒ ምስ እምኒኳ ይጋጨው ” ይብሉ፡፡	ሽኳን ሰብ ተናጋሪ፣ ተንቀሳቃሲ፣ መጋጨይ ተግንዩስ እምኒ ምስ እምኒኳ ይጋጨ ” ይብሉ፡፡	ሽኳን ሰብ ተናጋሪ፣ ተንቀሳቃሲ፣ መጋጨይ ተግንዩስ እምኒ ምስ እምኒኳ ይጋጨይ” ይውሉ፡፡
እንተኾነ ግና፥ ብገንኡ እንተዘይተኣሪሙ፥ ሓደ ሻብ ዝተፈጠረ ስሕተት፥ ኣይምለስን፡፡	እንተኾነ ግና፥ ብገንኡ ተለይተኣሪሙ፥ ሓደ ሻዕ ልተፈጠረ ስሕተት፥ ኣይምለስይ፡፡	ተኾነ ግና፥ ብገናኡ ተደይተኣርሙ፥ ሓደ ሻዕ ድትፈጠረ ስሕተት፥ የምለስይ፡፡
ብዙሕ ሰብ ስለ ዝመላላእ ምእራም፣ ይቕረ ምባል፣ ምሕረት ምግባር እዩ፡፡	ብዙሕ ሰብ ስለ ልማላላእ ምእራም፣ ይቕረ ምባል፣ ምሕረት ምግባር እዩ። 	ብዙሕ ሰብ ስለ ድማላላእ ምእራም፣ ይቕር ምባል፣ ምሕረት ምግባር ይኡ። 
 “ይትረፍ ወዲ ሰብ ኣምላኽ’ኳ ይቕረ ይብል” ስለ ዝበሃል “ሰባት ካብ ምቅይያም፣ ምጥቅቃዕ ወፂኦም ሰላማዊ ህይወት ንምምራሕ፤ ካብ ፍርሕን ንሕንሕን ነፃ ንምዃን፥ በዳሊ ምስ ተበዳሊ ብሓደ ቀሪቦም ብሽማግለታት፣ ብዓበይቲ ዓዲ፣ ብመራሕቲ ሃይማኖት ዝፍፀም፥ ባህላዊ ስነ ስርዓት ዕርቂ ንክፍጠር ምክንያት ኰይኑ” ይብሉ፡፡	 “ሽኳንዶ ወዲ ሰብ ኣምላኽ’ኳ ይቕረ ይብል” ስለ ልበሃል “ሰባት ካብ ምቅይያም፣ ምጥቕቓዕ ወፂኦም ሰላማዊ ህይወት ልምምራሕ፤ ካብ ፍርሕይ ንሕንሕይ ነፃ ልምዃን፥ በዳሊ ምስ ተበዳሊ ብሓደ ቐሪቦም ብሽማግለታት፣ ብዓበይቲ ዓዲ፣ ብመራሕቲ ሃይማኖት ልፍፀም፥ ባህላዊ ስነ ስርዓት ዕርቂ ልኽፍጠር ምክንያት ዀይኑ” ይብሉ፡፡	 “ሽኳንዶ ወዲ ሰብ ኣምላኽ’ኳ ይቕር ይብል” ስለ ድበሃል “ሰባት ካምቅይያም፣ ምጥቕቓዕ ወፅኦም ሰላማዊ ህይወት ድምምራሕ፤ ካፍርሕይ ንሕንሕይ ነፃ ድምዃን፥ በዳሊለ ተበዳሊለ ብሓደ ቐርቦም ብሽማግለታት፣ ብዓበይቲ ዓዲ፣ ብመራሕቲ ሃይማኖት ድፍፀም፥ ባህላዊ ስነ- ስርዓት ዕርቂ ድክፍጠር ምኽንያት ኾይኑ” ይውሉ፡፡
ባህላዊ ስነስርዓት ዕርቂ፥ ኣብ ሞንጎ ሰባት ንዝፍጠሩ ዝተፈላለዩ ጐንፅታት፣ ኣፈላላያት፣ ናብ ሓደ ብምምፃእ፣ ናብቲ ቅድሚ ጐንፂ ዝነበሩሉ ሰላምን ስምምዕን ብምፍጣር ንብዙሕ ዘመናት ኣብ ማሕበረሰብ እናገልገለ መፂኡ፡፡	ባህላዊ ስነስርዓት ዕርቂ፥ ኣብ ሞንጎ ሰባት ልልፍጠሩ ልተፈላለዩ ጐንፅታት፣ ኣፈላላያት፣ ላብ ሓደ ብምምፃእ፣ ላብቲ ቕድሚ ጐንፂ ልነበሩሉ ሰላምይ ስምምዕይ ብምፍጣር ልብዙሕ ዘበናት ኣብ ማሕበረሰብ ላገልገለ መፂኡ፡፡	ባህላዊ ስነ-ስርዓት ዕርቂ፥ ኣብ ማእኸል ሰባት ድድፍጠሩ ድተፈላለዩ ኣምባጓሮታት፣ ኣፈላላያት፣ ዳብ ሓደ ብምምፃእ፣ ዳፍቲ ቕድሚ ኣምባጓሮ ድነበሩሉ ሰላምይ ስምምዕይ ብምፍጣር ድብዙሕ ዘበናት ኣብ ማሕበረሰብ ላገልገለ መፅኡ፡፡
ብምዃኑ ድማ፥ ኣብ ትግራይ ካብ ዝርከቡ ባህላዊ ስነስርዓት ዕርቂ ኣልዒለ፥ ኣብ እንደርታ ኰነ ኣብ መላእ ትግራይ፥ ስነስርዓት ዕርቂ እንደርታ ተባሂሉ ዝፍለጥ፥ ዝርዝር ስነስርዓቱ፣ ከመይን ብምንታይን ይትግበር?	ብምዃኑ፥ ኣብ ትግራይ ካብ ልግነዩ ባህላዊ ስነስርዓት ዕርቂ ኣልዒለ፥ ኣብ እንደርታ ኰነ ኣብ መላእ ትግራይ፥ ስነስርዓት ዕርቂ እንደርታ ተባሂሉ ልፍለጥ፥ ዝርዝር ስነስርዓቱ፣ ሃመይን ብምንታይን ይትግበር?	ብምዃኑ፥ ኣብ ትግራይ ካድግነዩ ባህላዊ ስነ-ስርዓት ዕርቂ ኣልዕለ፥ ኣብ እንደርታ ኾነ ኣብ መላእ ትግራይ፥ ስነ-ስርዓት ዕርቂ እንደርታ ትባህሉ ድፍለጥ፥ ዝርዝር ስነ-ስርዓቱ፣ ሃመይይ ብምንታይይ ይትግበር？
ጥቅምታቱ ከ እንታይ እዮም?	ጥቕምታቱ ኸ እንታይ እዮም?	ጥቕምታቱ ኸ ታ ይኦም？
ዝብሉ ሓተታ ኣድላዪን፣ ወሳኒን ብምዃኑ፥ ብሰፊሑ ንምብራህን ንምስናድን እዚ ምርምር ቀሪቡ ኣሎ።	ልብሉ ሓተታ ኣድላዪን፣ ወሳኒን ብምዃኑ፥ ብሰፊሑ ልምብራህን ልምስናድን እዚ ምርምር ቀሪቡ።	ድውሉ ሓተታ ኣድላዪይ፣ ወሳኒይ ብምዃኑ፥ ብሰፍሑ ድምብራህይ ድምስናድይ እዚ ምርምር ቓርቡ።
2 ሓተታ ፀገም ምርምር	2 ሓተታ ፀገም ምርምር	2 ሓተታ ፀገም ምርምር
ባህላዊ ስነስርዓት ዕርቂ፥ ኣብ ዓለም፣ ኣብ ሃገርና ኰነ ኣብ ትግራይ፣ በቢ ከባቢኡ፥ ኣብ ከይዲ ኣፈፃፅምኡ፣ ስፍሓቱ፣ ዕምቈቱ፣ ትሕዝትኡ ይፈላለ እምበር፥ ንተመሳሳሊ ዕላማ፣ መሳርሒ ሰላም፣ ፍትሒ ኰይኑ ንዘመናት እናገልገለ ፀኒሑ፡፡	ባህላዊ ስነስርዓት ዕርቂ፥ ኣብ ዓለም፣ ኣብ ሃገርና ኰነ ኣብ ትግራይ፣ በቢ ከባቢኡ፥ ኣብ ኸይዲ ኣፈፃፅምኡ፣ ስፍሓቱ፣ ዕምቈቱ፣ ትሕዝትኡ ይፈላለ እምበይ፥ ልተመሳሳሊ ዕላማ፣ መሳርሒ ሰላም፣ ፍትሒ ዀይኑ ልዘበናት እላገልገለ ፀኒሑ፡፡	ባህላዊ ስነ-ስርዓት ዕርቂ፥ ኣብ ዓለም፣ ኣብ ሃገርና ኾነ ኣብ ትግራይ፣ ብብከባብኡ፥ ኣብ ኸይዲ ኣፈፃፅማኡ፣ ስፍሓቱ፣ ጥልቐቱ፣ ድሕዝቶኡ ይፈላለ ድኣ፥ ድተመሳሳሊ ዕላማ፣ መሳርሒ ሰላም፣ ፍትሒ ኾይኑ ድዘበናት ላገልገለ ፀንሑ፡፡
ክሳዕ ሐዚ እውን ኣብ ጥቕሚ ዘሎ ባህላዊ ስርዓት ማሕበረሰብና እዩ፡፡	ክሻዕ ኸዚ’ውን ኣብ ጥቕሚ ለሎ ባህላዊ ስርዓት ማሕበረሰብና እዩ፡፡	ክሻዕ ኸዚለ ኣብ ጥቕሚ ደንሆ ባህላዊ ስርዓት ማሕበረሰብና ይኡ፡፡
ኣብ ሓደ ከባቢ ማሕበረሰብ ዝፍጠር ወይከዓ ዝትግበር ጥንታዊ ስርዓት፥ ብቀጥታ ኰነ ብተዘዋዋሪ ናይቲ ማሕበረሰብ ደረጃ ስልጣነ፣ ኣተሓሳስባ፣ ብልሓትን ንቅሓትን የረድእ፡፡	ኣብ ሓደ ከባቢ ማሕበረሰብ ልፍጠር ወይ ልትግበር ጥንታዊ ስርዓት፥ ብቀጥታ ኰነ ብተዘዋዋሪ ናይቲ ማሕበረሰብ ደረጃ ስልጣነ፣ ኣተሓሳስባ፣ ብልሓትይ ንቕሓትይ የረድእ፡፡	ኣብ ሓደ ኸባቢ ማሕበረሰብ ድፍጠር ወይለ ድትግበር ጥንታዊ ስርዓት፥ ብቐጥታ ኾነ ብተዘዋዋሪ ናቲ ማሕበረሰብ ደረጃ ስልጣነ፣ ኣተሓሳስባ፣ ብልሓትይ ንቕሓትይ ያረድእ፡፡
እዚ ማሕበራዊ ስርዓት ኣብ ሓፂር ግዜ ዝፍጠር ዘይኮነስ ውፅኢት ውህሉል ስርዓተ ክብርታት ብዙሕ ዘመን እዩ፡፡	እዚ ማሕበራዊ ስርዓት ኣብ ሓፂር ግዜ ልፍጠር ለይኾነስ ውፅኢት ውህሉል ስርዓተ ክብርታት ብዙሕ ዘበን እዩ፡፡	እዚ ማሕበራዊ ስርዓት ኣብ ሓጭር ግዜ ድፍጠር ደይኾነስ ውፅኢት ውህሉል ስርዓተ ክብርታት ብዙሕ ዘበን ይኡ፡፡
ኣብ ሞንጎ ሰባት ዝፍጠር ጐንፂ፥ ዝፀነሐ፣ ዘሎን ዝቅፅልን ባህሪ ደቂ ሰባት ምዃኑ ዝፍለጥ ሓቂ እዩ፡፡	ኣብ ሞንጎ ሰባት ልፍጠር ጐንፂ፥ ልፀነሐ፣ ለሎይ ልቕፅልይ ባህሪ ደቂ ሰባት ምዃኑ ልፍለጥ ሓቂ እዩ፡፡	ኣብ ሞንጎ ሰባት ድፍጠር ኣምባጓሮ፥ ድፀነሐ፣ ድንሆይ ድቕፅልይ ባህሪ ደቂ ሰባት ምዃኑ ድፍለጥ ሓቂ ይኡ፡፡
ዕርቂ እንደርታ፥ ዘመናዊ ስርዓት ኣብ ዘይነበረሉ ሰዓት፥ ብዙሓት ጐንፅታት ብምእላይ ሓደ ኣካል ፍትሒ ኰይኑ እናገልገለ ዝመፅአ ባህላዊ ስርዓት እዩ፡፡	ዕርቂ እንደርታ፥ ዘመናዊ ስርዓት ኣብ ለይነበረሉ ሰዓት፥ ብዙሓት ጐንፅታት ብምእላይ ሓደ ኣካል ፍትሒ ዀይኑ ላገልገለ ልመፀ ባህላዊ ስርዓት እዩ፡፡	ዕርቂ እንደርታ፥ ዘመናዊ ስርዓት ኣብ ደይነበረሉ ሰዓት፥ ብዙሓት ጐንፅታት ብምእላይ ሓደ ኣካል ፍትሒ ኾይኑ ዳገልገለ ድመፅአ ባህላዊ ስርዓት ይኡ፡፡
ብምዃኑ ከዓ ድሕንነት፣ ሰላም፣ ሓድነት ከባቢ ኣብ ምሕላው ዓብይ ብፅሒት ኣለዎ፡፡	ብምዃኑ ድሕንነት፣ ሰላም፣ ሓድነት ከባቢ ኣብ ምሕላው ዓብይ ብፅሒት እኒሀዎ፡፡	ብምዃኑ ድሕንነት፣ ሰላም፣ ሓድነት ከባቢ ኣብ ምሕላው ዓብይ ብፅሕት እንሀዎ፡፡
እዚ ጥንታዊ ስነስርዓት ዕርቂ፥ ካብ ስርዓት ዳግማዊ ሃፀይ ምኒሊክ ጀሚሩ ክሳዕ ሐዚ፥ ብውሱን መልክዑ እናተዳኸመ፣ ባህላዊ ትሕዝትኡ እናነከየ መፂኡ ፡፡	እዚ ጥንታዊ ስነስርዓት ዕርቂ፥ ካብ ስርዓት ዳግማዊ ሃፀይ ምኒሊክ ጀሚሩ ክሻዕ ኸዚ፥ ብውሱን መልክዑ ላተዳኸመ፣ ባህላዊ ትሕዝትኡ ላነከየ መፂኡ ፡፡	እዚ ጥንታዊ ስነ-ስርዓት ዕርቂ፥ ካስርዓት ዳግማዊ ሃፀይ ምኒሊክ ጀሙሩ ክሻዕ ኸዚ፥ ብውሱን መልክዑ ዳትዳኸመ፣ ባህላዊ ድሕዝቶኡ ላቓነሰ መፅኡ ፡፡
ስለዚ እቶም ዋና ዋና ምኽንያታት ብምፍላጥ፤ እዚ ጥንታዊ ባህላዊ ስነ ስርዓት ዕርቂ፣ ባህላዊ ትሕዝትኡ ከይለቐቐ ንክቕፅል ምግባር ንማሕበረሰብ፣ ንውልቀ ሰባት፣ ንመንግስቲ (ዘመናዊ ሕጊ) ሓጋዚ ብምዃኑ ንክዕቀብ ዕንቅፋታቱ፣ ክፍተታቱ ተነቒሶም ተነፂሮም ንክወፅኡ ንምግባርን ቅልጡፍ ፍታሕ ንምሃብን ብዕምቈት ምትንታን የድሊ፡፡	ስለዚ እቶም ዋና ዋና ምኽንያታት ብምፍላጥ፤ እዚ ጥንታዊ ባህላዊ ስነ ስርዓት ዕርቂ፣ ባህላዊ ትሕዝትኡ ተይለቐቐ ልክቕፅል ምግባር ልማሕበረሰብ፣ ልውልቀ ሰባት፣ ልመንግስቲ (ዘመናዊ ሕጊ) ሓጋዚ ብምዃኑ ልክዕቀብ ዕንቅፋታቱ፣ ክፍተታቱ ተነቒሶም ተነፂሮም ልክወፁ ልምግባርይ ቕልጡፍ ፍታሕ ልምሃብይ ብጥልቀት ምትንታን የድሊ፡፡	ስለዚ እቶም ወና ወና ምኽንያታት ብምፍላጥ፤ እዚ ጥንታዊ ባህላዊ ስነ- ስርዓት ዕርቂ፣ ባህላዊ ድሕዝቶኡ ተይለቐቐይ ድክቕፅል ምግባር ድማሕበረሰብ፣ ድግለ ሰባት፣ ድመንግስቲ (ዘመናዊ ሕጊ) ሓጋዚ ብምዃኑ ድክዕቀብ ዕንቅፋታቱ፣ ክፍተታቱ ትነቕሶም ትነፅሮም ድኽወፁ ድምግባርይ ቕልጡፍ ፍታሕ ድምውሃብይ ብጥልቀት ምትንታን ያዳሊ(ያድልይ)፡፡
ዕርቂ፥ ኣብ ሞንጎ ክልተ ሰባት፣ ጉጅለ ፣ ዓሌት ወይከዓ ብሄር ዝፍጠር፥ ዝኰነ ዓይነት ጐንፂ፣ ኣሉታዊ ዘይምስምማዕ ወይከዓ በደል፣ ጥቅዓት፣ ጕድኣት እንትበፅሕ ናብቲ ዝነበሮ ሰላም፣ ፍቕርን ምትሕግጋዝን ንምምላስ ዝግበር ባህላዊ መንገዲ መሰማምዒ፥ ምሕረትን ይቕረ በሃላይነትን ካብ ኰነ፥ ብቲ ዝህቦ ግልጋሎት ልክዕ ግና ብኣግባቡ ክተሓዝ፣ ክስነድ ዘይምግባሩ ዓብይ ክፍተት እዩ፡፡	ዕርቂ፥ ኣብ ሞንጎ ኽልተ ሰባት፣ ጉጅለ ፣ ዓሌት ወይ ብሄር ልፍጠር፥ ልዀነ ዓይነት ጐንፂ፣ ኣሉታዊ ለይምስምማዕ ወይ በደል፣ ጥቕዓት፣ ጕድኣት እንትበፅሕ ላብቲ ልነበሮ ሰላም፣ ፍቕርይ ምትሕግጋዝይ ልምምላስ ልግበር ባህላዊ መንገዲ መሰማምዒ፥ ምሕረትይ ይቕረ በሃላይነትይ ካብ ዀነ፥ ብቲ ልህቦ ግልጋሎት ልክዕ ግና ብኣግባቡ ክተሓዝ፣ ክስነድ ለይምግባሩ ዓብይ ክፍተት እዩ፡፡	ዕርቂ፥ ኣብ ሞንጎ ኽልተ ሰባት፣ ጉጅለ ፣ ዓሌት ወይ ብሄር ድፍጠር፥ ድኾነ ዓይነት ኣምባጓሮ፣ ኣሉታዊ ደይምስምማዕ ወይለ በደል፣ ጥቕዓት፣ ጕድኣት ትበፅሕሎ ዳፍቲ ድነዎሮ ሰላም፣ ፍቕርይ ምትሕግጋዝይ ድምምላስ ድግበር ባህላዊ መንገዲ መሰማዕመዒ፥ ምሕረትይ ይቕረ በሃላይነትይ ካድኾነ፥ ብቲ ድህቦ ግልጋሎት ልክዕ ግና ብኣግባቡ ክድሓዝ፣ ክስነድ ደይምግባሩ ዓብይ ክፍተት ይኡ፡፡
እዚ ባህላዊ ስርዓት፥ ዓብይ ፀጋ ሓደ ከባቢ ኰይኑ፥ ብቐፃልነት ናብ ወለዶታት ክሓልፍ፣ ክሰጋገር፣ ክስነድ ኣይረአን፡፡	እዚ ባህላዊ ስርዓት፥ ዓብይ ፀጋ ሓደ ከባቢ ኰይኑ፥ ብቐፃልነት ናብ ወለዶታት ክሓልፍ፣ ክሸጋገር፣ ክስነድ ኣይረአይ፡፡	እዚ ባህላዊ ስርዓት፥ ዓብይ ፀጋ ሓደ ከባቢ ኾይኑ፥ ብቐፃልነት ዳብ ወለዶታት ክሓልፍ፣ ክሸጋገር፣ ክስነድ ኣይረአይይ፡፡
ስለዝኰነ እውን ድሕሪ ግዜ ባህላዊ ትሕዝትኡ እናነከየ፤ ኢሉ እውን ጠቅሊሉ ከይርሳዕ፥ ሙሉእ ስርዓቱ ክተሓዝ ክስነድ፣ ናብ ትውልዲ ክሓልፍ ብሳይንሳዊ መንገዲ፥ ብምርምር ተፀኒዑ ብስርዓት (ብኣግባቡ) ክተሓዝ ይግባእ፤ ብዝብል ተሰኒዱ ተዳልዩ ኣሎ፡፡	ስለልኾነ ድሕሪ ግዜ ባህላዊ ትሕዝትኡ ላነከየ፤ ኢሉለ ጠቕሊሉ ከይርሳዕ፥ ሙሉእ ስርዓቱ ክተሓዝ ክስነድ፣ ልትውልዲ ክሓልፍ ብሳይንሳዊ መንገዲ፥ ብምርምር ተፀኒዑ ብስርዓት (ብኣግባቡ) ክተሓዝ ይግባእ፤ ብልብል ተሰኒዱ ተዳልዩ ፡፡	ስለድኾነ ድሕሪ ግዜ ባህላዊ ድሕዝቶኡ ላነከየ፤ ውሉለ ጠቕልሉ ሀይርሳዕ፥ ሙሉእ ስርዓቱ ክድሓዝ ክስነድ፣ ዳትውልዲ ክሓልፍ ብሳይንሳዊ መንገዲ፥ ብምርምር ትፀንዑ ብስርዓት (ብኣግባቡ) ክድሓዝ ይግባእ፤ ብድብል ትሰንዱ ትዳልዩ ፡፡
1.3 ሕቶታት ምርምር	1.3 ሕቶታት ምርምር	1.3 ሕቶታት ምርምር
ዕርቂ እንደርታ ብከመይ መንገዲ እዩ ዝትግበር፣ ስነ-ስርዓቱኸ?	ዕርቂ እንደርታ ብሃመይ መንገዲ እዩ ልትግበር፣ ስነ-ስርዓቱኸ?	ዕርቂ እንደርታ ብሃመይ መገዲ ይኡ ድትግበር፣ ስነ-ስርዓቱኸ?
ዕርቂ እንደርታ መኣዝን እንታይ እንታይ ፀገማትን እዩ ዝፈትሕ?	ዕርቂ እንደርታ መኣዝን ታይ ታይ ፀገማትን እዩ ልፈትሕ?	ዕርቂ እንደርታ መኣዝይ ታይ ታይ ፀገማትይ ይኡ ድፈትሕ?
ዕርቂ እንደርታ ዝህቦም ረብሓታት እንታይ እንታይ እዮም?	ዕርቂ እንደርታ ልህቦም ጥቕምታት ታይ ታይ እዮም?	ዕርቂ እንደርታ ድህቦም ጥቕምታት ታይ ታይ ይኦም?
ስፍሓት ተጠቃምነት፣ ተጠላቢነትን ተፈላጥነትን ዕርቂ እንደርታ እንታይ ይመስል?	ስፍሓት ተጠቃምነት፣ ተደላይነትይ ተፈላጥነትይ ዕርቂ እንደርታ ታይ ይመስል?	ስፍሓት ትጠቃምነት፣ ትደላይነትይ ትፈላጥነትይ ዕርቂ እንደርታ ታ ይመስል?
ዕርቂ እንደርታ ክሳዕ ሐዚ ንምንታይ ትኹረት ከይተውሃቦ ፀኒሑ?	ዕርቂ እንደርታ ክሻዕ ኸዚ ልምንታይ ትኹረት ለይተውሃቦ ፀኒሑ?	ዕርቂ እንደርታ ክሻዕ ኸዚ ድምንታይ ትኹረት ደይተውሃቦ ፀንሑ?
ዕርቂ እንደርታ ምስ ዘመናዊ ሕጊ ዘለዎ ምትእስሳር እንታይ ይመስል?	ዕርቂ እንደርታ ምስ ዘመናዊ ሕጊ ለለዎ ምትእስሳር ታይ ይመስል?	ዕርቂ እንደርታ ምስ ዘመናዊ ሕጊ ድንሀዎ ምትእስሳር ታ ይመስል?
(እዚኣ ትኹን)	(እዚኣ ትኹን)	(እዛው ትኹን)
1.4 ዕላማ ምርምር	1.4 ዕላማ ምርምር	1.4 ዕላማ ምርምር
እዚ ምርምር ጥቕሉልን ዝርዝርን ዕላማታት ዘካተተ ኰይኑ ንሳቶም እውን ከም ዝስዕብ ተገሊፆም ኣለው፡፡	እዚ ምርምር ጥቕሉልይ ዝርዝርይ ዕላማታት ለካተተ ዀይኑ እሳቶምለ ሃም ልስዕብ ተገሊፆም እኒሄዉ፡፡	እዚ ምርምር ጥቕሉልይ ዝርዝርይ ዕላማታት ዳካተተ ኾይኑ እሳቶምለ ሃም ድስዕብ ትገልፆም እንሀዩ፡፡
1.4.1 ሓፈሻዊ ዕላማ	1.4.1 ሓፈሻዊ ዕላማ	1.4.1 ሓፈሻዊ ዕላማ
ቀንዲ ዕላማ እዚ ምርምር፥ ኣተገባብራ፣ተቐባልነት፣ስፍሓትን ተጠቃምነትን ባህላዊ ስነ-ስርዓት ዕርቂ እንደርታ ፣ ብዝረዝር ዳህሲሱ ትንታነ ምክያድ እዩ ፡፡	ቀንዲ ዕላማ እዚ ምርምር፥ ኣተገባብራ፣ተቐባልነት፣ስፍሓትን ተጠቃምነትን ባህላዊ ስነ-ስርዓት ዕርቂ እንደርታ ፣ ብዝረዝር ዳህሲሱ ትንታነ ምክያድ እዩ ፡፡	ቀንዲ ዕላማ እዚ ምርምር፥ ኣተገባብራ፣ትቐባልነት፣ስፍሓትይ ትጠቃምነትይ ባህላዊ ስነ-ስርዓት ዕርቂ እንደርታ ፣ ብዝረዝር ዳህስሱ ትንታነ ምክያድ ይኡ፡፡
1.4.2 ዝርዝር ዕላማታት	1.4.2 ዝርዝር ዕላማታት	1.4.2 ዝርዝር ዕላማታት
ዕርቂ እንደርታ ብከመይ መንገዲ ከም ዝትግበር፣ ኣፈፃፅምኡ ንምብራህ	ዕርቂ እንደርታ ብሃመይ መንገዲ ሃም ልትግበር፣ ኣፈፃፅምኡ ንምብራህ	ዕርቂ እንደርታ ብሃመይ መገዲ ሃም ድትግበር፣ ኣፈፃፅምኡ ድምብራህ
ዕርቂ እንደርታ ዘለዎ ስርዓት እንታይ ከም ዝመስል ንምትንታን	ዕርቂ እንደርታ ለለዎ ስርዓት ታይ ሃም ልመስል ንምትንታን	ዕርቂ እንደርታ ድንሀዎ ስርዓት ታ ሃም ድመስል ድምትንታን
ኣብ እንደርታ፥ መኣዝን ኣብ ምንታይ ኵነታትን ዕርቂ ከም ዝካየድ ንምብራህ ዕርቂ እንደርታ ብመንግስታዊ መሓውራት ማለት ብፀጥታ፣ ትካላት ፍትሒ፣ ቢሮ ባህልን ቱሪዝምን፣ ዩኒቨርሲቲታት፣ ኮሌጃት ትካላት ወዘተ ትኹረት ዘይተውሃበሉ ምኽንያት ንምብራህ፤ ምስ ዘመናዊ ሕጊ ዘለዎ ምትእስሳር ምትንታን	ኣብ እንደርታ፥ መኣዝይ ኣብ ምንታይ ኵነታትይ ዕርቂ ሃም ልካየድ ልምብራህ ዕርቂ እንደርታ ብመንግስታዊ መሓውራት ማለት ብፀጥታ፣ ትካላት ፍትሒ፣ ቢሮ ባህልይ ቱሪዝምይ፣ ዩኒቨርሲቲታት፣ ኮሌጃት ትካላት ወዘተ ትኹረት ለይተውሃበሉ ምኽንያት ልምብራሕ፤ ምስ ዘመናዊ ሕጊ ለለዎ ምትእስሳር ምትንታን	ኣብ እንደርታ፥ መኣዘይ ኣብ ምንታይ ኹነታትይ ዕርቂ ሃም ድካየድ ድምብራህ ዕርቂ እንደርታ ብመንግስታዊ መሓውራት ማለት ብፀጥታ፣ ትካላት ፍትሒ፣ ቢሮ ባህልይ ቱሪዝምይ፣ ዩኒቨርሲቲታት፣ ኮሌጃት ትካላት ወዘተ ትኹረት ደይተውሃበሉ ምኽንያት ድምብራህ፤ ምስ ዘመናዊ ሕጊ ድንሀዎ ምትእስሳር ምትንታን
